,Tile Id,Date,Serving Cell Average RSRP (All),Serving Cell Average RSRQ (All),Total MR Count,Longitude,Latitude,geometry
294,'5764608310152297546',12/6/2020,-124.0,-20.0,2,114.994927,-8.849791999999999,POINT (114.994927 -8.849791999999999)
295,'5764608310152297578',12/6/2020,-121.12,-18.72,34,114.9963,-8.849791999999999,POINT (114.9963 -8.849791999999999)
306,'5764608310152298169',12/6/2020,-120.75,-19.5,8,115.00419699999999,-8.850810000000001,POINT (115.004197 -8.850810000000001)
312,'5764608310152298342',12/6/2020,-124.0,-20.0,3,115.001107,-8.843686,POINT (115.001107 -8.843686)
313,'5764608310152298362',12/6/2020,-121.93,-18.58,60,115.00179299999999,-8.843007,POINT (115.001793 -8.843007)
324,'5764608310152303493',12/6/2020,-122.57,-16.32,14,115.013123,-8.900335,POINT (115.013123 -8.900335)
328,'5764608310152303775',12/6/2020,-120.3,-18.39,27,115.00866,-8.893550999999999,POINT (115.00866 -8.893550999999999)
336,'5764608310152305396',12/6/2020,-121.24,-18.28,29,115.02548300000001,-8.902031,POINT (115.025483 -8.902030999999999)
342,'5764608310152306008',12/6/2020,-123.0,-19.67,3,115.01655600000001,-8.886428,POINT (115.016556 -8.886428)
365,'5764608310152309618',12/6/2020,-124.11,-16.7,18,115.045052,-8.918989999999999,POINT (115.045052 -8.918989999999999)
369,'5764608310152310351',12/6/2020,-120.75,-20.0,4,115.04436499999998,-8.913902,POINT (115.044365 -8.913902)
378,'5764608310152312294',12/6/2020,-122.23,-18.67,35,115.031319,-8.887106,POINT (115.031319 -8.887105999999999)
408,'5764608310152315607',12/6/2020,-121.67,-19.67,3,115.013466,-8.879983,POINT (115.013466 -8.879982999999999)
431,'5764608310152316979',12/6/2020,-122.6,-16.0,20,115.01758600000001,-8.883375,POINT (115.017586 -8.883374999999999)
435,'5764608310152317083',12/6/2020,-122.67,-19.5,6,115.019646,-8.883375,POINT (115.019646 -8.883374999999999)
440,'5764608310152317274',12/6/2020,-121.5,-19.67,20,115.016899,-8.875573,POINT (115.016899 -8.875572999999999)
462,'5764608310152318955',12/6/2020,-122.5,-19.39,14,115.02651200000001,-8.865736,POINT (115.026512 -8.865736)
472,'5764608310152319379',12/6/2020,-122.5,-17.25,4,115.00797299999999,-8.856238000000001,POINT (115.007973 -8.856238000000001)
473,'5764608310152319519',12/6/2020,-122.5,-20.0,2,115.01140600000001,-8.860987,POINT (115.011406 -8.860987)
474,'5764608310152319567',12/6/2020,-121.0,-19.5,2,115.01140600000001,-8.859630000000001,POINT (115.011406 -8.859630000000001)
489,'5764608310152320378',12/6/2020,-130.67,-19.33,9,115.00728600000001,-8.843007,POINT (115.007286 -8.843007)
497,'5764608310152320967',12/6/2020,-120.31,-19.3,35,115.013466,-8.843347,POINT (115.013466 -8.843347)
516,'5764608310152322547',12/6/2020,-120.2,-16.97,15,115.02033300000001,-8.842668,POINT (115.020333 -8.842668)
522,'5764608310152322667',12/6/2020,-122.25,-14.2,56,115.023766,-8.849453,POINT (115.023766 -8.849453)
529,'5764608310152322784',12/6/2020,-122.42,-15.13,71,115.02548300000001,-8.849791999999999,POINT (115.025483 -8.849791999999999)
533,'5764608310152323002',12/6/2020,-123.38,-15.55,137,115.02651200000001,-8.845721000000001,POINT (115.026512 -8.845721000000001)
546,'5764608310152324044',12/6/2020,-122.18,-19.86,11,115.03578200000001,-8.876252000000001,POINT (115.035782 -8.876252000000001)
562,'5764608310152324721',12/6/2020,-120.43,-15.57,30,115.033722,-8.869807000000002,POINT (115.033722 -8.869807000000002)
566,'5764608310152324957',12/6/2020,-123.28,-19.43,36,115.03303600000001,-8.863700999999999,POINT (115.033036 -8.863700999999999)
569,'5764608310152325144',12/6/2020,-122.4,-19.5,5,115.038529,-8.883714,POINT (115.038529 -8.883713999999999)
570,'5764608310152325162',12/6/2020,-120.33,-17.61,9,115.040245,-8.885071,POINT (115.040245 -8.885071)
576,'5764608310152325327',12/6/2020,-122.12,-20.0,8,115.041619,-8.88134,POINT (115.041619 -8.88134)
581,'5764608310152325647',12/6/2020,-129.43,-17.68,14,115.04436499999998,-8.884053,POINT (115.044365 -8.884053)
587,'5764608310152326205',12/6/2020,-123.69,-19.77,13,115.039902,-8.871842,POINT (115.039902 -8.871841999999999)
589,'5764608310152326235',12/6/2020,-122.0,-20.0,1,115.038872,-8.869807000000002,POINT (115.038872 -8.869807000000002)
594,'5764608310152326495',12/6/2020,-121.91,-16.32,34,115.038872,-8.863700999999999,POINT (115.038872 -8.863700999999999)
600,'5764608310152326633',12/6/2020,-123.25,-16.0,12,115.042649,-8.865736,POINT (115.042649 -8.865736)
610,'5764608310152327085',12/6/2020,-121.55,-19.64,11,115.048142,-8.867771000000001,POINT (115.048142 -8.867771000000001)
613,'5764608310152327234',12/6/2020,-123.0,-20.0,6,115.027199,-8.860648,POINT (115.027199 -8.860647999999999)
615,'5764608310152327264',12/6/2020,-120.25,-20.0,4,115.02822900000001,-8.860648,POINT (115.028229 -8.860647999999999)
618,'5764608310152327348',12/6/2020,-124.5,-17.88,8,115.030976,-8.861326,POINT (115.030976 -8.861326)
622,'5764608310152327561',12/6/2020,-120.5,-19.44,34,115.030289,-8.857595,POINT (115.030289 -8.857595)
624,'5764608310152327677',12/6/2020,-132.0,-20.0,2,115.03166200000001,-8.852845,POINT (115.031662 -8.852845)
629,'5764608310152327892',12/6/2020,-125.09,-14.86,11,115.035096,-8.858611999999999,POINT (115.035096 -8.858611999999999)
633,'5764608310152328390',12/6/2020,-122.37,-18.95,19,115.029946,-8.849114,POINT (115.029946 -8.849114)
634,'5764608310152328394',12/6/2020,-121.33,-20.0,3,115.03063200000001,-8.849791999999999,POINT (115.030632 -8.849791999999999)
635,'5764608310152328494',12/6/2020,-122.0,-15.66,84,115.02925900000001,-8.8464,POINT (115.029259 -8.846399999999999)
638,'5764608310152328698',12/6/2020,-129.0,-19.75,4,115.03200600000001,-8.843007,POINT (115.032006 -8.843007)
643,'5764608310152329289',12/6/2020,-122.71,-19.29,7,115.038529,-8.860308,POINT (115.038529 -8.860308)
654,'5764608310152330177',12/6/2020,-122.56,-20.0,9,115.04608200000001,-8.854880999999999,POINT (115.046082 -8.854880999999999)
659,'5764608310152330285',12/6/2020,-123.67,-20.0,6,115.039902,-8.851488,POINT (115.039902 -8.851488)
687,'5764608310152331845',12/6/2020,-121.0,-20.0,3,114.966431,-8.837919,POINT (114.966431 -8.837918999999999)
690,'5764608310152333258',12/6/2020,-122.0,-20.0,9,114.97020800000001,-8.822652,POINT (114.970208 -8.822652)
694,'5764608310152333772',12/6/2020,-123.85,-19.58,13,114.975357,-8.83283,POINT (114.975357 -8.83283)
706,'5764608310152334272',12/6/2020,-120.19,-18.94,26,114.98016399999999,-8.833509,POINT (114.980164 -8.833508999999999)
708,'5764608310152334491',12/6/2020,-121.0,-20.0,3,114.975701,-8.829098,POINT (114.975701 -8.829098)
710,'5764608310152334829',12/6/2020,-125.25,-20.0,4,114.976731,-8.821635,POINT (114.976731 -8.821635000000001)
719,'5764608310152335223',12/6/2020,-123.11,-17.55,28,114.979134,-8.820278,POINT (114.979134 -8.820278)
721,'5764608310152335608',12/6/2020,-124.18,-20.0,28,114.965744,-8.815866999999999,POINT (114.965744 -8.815866999999999)
724,'5764608310152335677',12/6/2020,-120.8,-19.5,5,114.962998,-8.812135000000001,POINT (114.962998 -8.812135000000001)
725,'5764608310152335730',12/6/2020,-121.22,-19.33,27,114.962654,-8.810439,POINT (114.962654 -8.810439000000001)
731,'5764608310152337172',12/6/2020,-123.09,-16.14,11,114.966431,-8.801618,POINT (114.966431 -8.801617999999999)
740,'5764608310152338043',12/6/2020,-121.23,-18.42,227,114.979821,-8.815528,POINT (114.979821 -8.815528)
791,'5764608310152342488',12/6/2020,-122.1,-19.52,80,115.00282299999999,-8.832152,POINT (115.002823 -8.832152000000001)
797,'5764608310152342610',12/6/2020,-120.33,-17.59,58,114.99423999999999,-8.826723,POINT (114.99424 -8.826722999999999)
809,'5764608310152342993',12/6/2020,-122.8,-17.7,10,114.99664299999999,-8.820955999999999,POINT (114.996643 -8.820955999999999)
821,'5764608310152343440',12/6/2020,-129.75,-20.0,4,115.002137,-8.824009,POINT (115.002137 -8.824009)
833,'5764608310152344280',12/6/2020,-120.4,-20.0,10,114.99183700000002,-8.815866999999999,POINT (114.991837 -8.815866999999999)
838,'5764608310152344599',12/6/2020,-121.02,-19.39,55,114.983254,-8.806707000000001,POINT (114.983254 -8.806707000000001)
844,'5764608310152345231',12/6/2020,-124.0,-19.25,2,114.99218,-8.808064,POINT (114.99218 -8.808064)
860,'5764608310152346020',12/6/2020,-122.0,-20.0,2,114.99801699999999,-8.813831,POINT (114.998017 -8.813831)
871,'5764608310152346305',12/6/2020,-120.67,-20.0,6,115.002137,-8.816885000000001,POINT (115.002137 -8.816885000000001)
883,'5764608310152346530',12/6/2020,-120.38,-20.0,8,115.003853,-8.81451,POINT (115.003853 -8.81451)
886,'5764608310152346727',12/6/2020,-124.0,-19.41,6,114.99561299999999,-8.80535,POINT (114.995613 -8.805350000000001)
902,'5764608310152348085',12/6/2020,-124.49,-17.9,39,114.96505800000001,-8.790421,POINT (114.965058 -8.790421)
906,'5764608310152349267',12/6/2020,-124.0,-19.62,4,114.966774,-8.782957000000001,POINT (114.966774 -8.782957000000001)
908,'5764608310152349546',12/6/2020,-120.14,-18.57,7,114.96883400000002,-8.779224000000001,POINT (114.968834 -8.779224000000001)
918,'5764608310152352473',12/6/2020,-125.75,-18.0,4,114.96986399999999,-8.772099,POINT (114.969864 -8.772099000000001)
919,'5764608310152352614',12/6/2020,-122.0,-18.0,2,114.968148,-8.767688,POINT (114.968148 -8.767688)
929,'5764608310152354142',12/6/2020,-121.67,-19.08,6,114.972954,-8.766331,POINT (114.972954 -8.766330999999999)
931,'5764608310152354183',12/6/2020,-129.0,-20.0,1,114.97501399999999,-8.770063,POINT (114.975014 -8.770063)
936,'5764608310152355013',12/6/2020,-128.0,-17.0,1,114.974671,-8.76192,POINT (114.974671 -8.76192)
937,'5764608310152355134',12/6/2020,-120.21,-19.85,24,114.974327,-8.758187,POINT (114.974327 -8.758187)
940,'5764608310152355317',12/6/2020,-120.28,-13.97,18,114.97604399999999,-8.755133,POINT (114.976044 -8.755133000000001)
947,'5764608310152355952',12/6/2020,-125.83,-20.0,6,114.984284,-8.794153,POINT (114.984284 -8.794153)
958,'5764608310152356597',12/6/2020,-121.0,-19.9,5,114.992524,-8.793136,POINT (114.992524 -8.793136000000001)
