Longitude,Latitude
115.1328919,-8.81786203
115.1024156,-8.82848156
115.1335882,-8.84093493
115.1186531,-8.82779694
115.1033143,-8.81626343
115.1303333,-8.8107944
115.0943766,-8.82906325
115.1277544,-8.84512596
115.1096032,-8.82413937
115.1268356,-8.82407945
115.0892857,-8.82012
115.1089091,-8.84207
115.0973579,-8.83712716
115.1209808,-8.80338538
115.1234,-8.81386822
