Tile Id,Date,Serving Cell Average RSRP (All),Serving Cell Average RSRQ (All),Total MR Count,Longitude,Latitude,geometry
'5764608310152461711',2.02E+16,-125.72,-15.63,39,115.13,-8.84606,POINT (115.129509 -8.846061000000001)
'5764608310152461712',2.02E+16,-122.4,-12.91,77,115.128,-8.84572,POINT (115.128479 -8.845721000000001)
'5764608310152461720',2.02E+16,-121,-14.8,10,115.129,-8.84572,POINT (115.129166 -8.845721000000001)
'5764608310152461721',2.02E+16,-122.56,-13.22,25,115.129,-8.84538,POINT (115.129166 -8.845382000000001)
'5764608310152461724',2.02E+16,-127.6,-13,5,115.129,-8.84504,POINT (115.129166 -8.845042999999999)
'5764608310152461729',2.02E+16,-123.19,-12.51,101,115.13,-8.84674,POINT (115.129853 -8.846738999999999)
'5764608310152461733',2.02E+16,-123.93,-13.39,41,115.13,-8.84606,POINT (115.129853 -8.846061000000001)
'5764608310152461734',2.02E+16,-132.43,-17.35,7,115.13,-8.8464,POINT (115.130196 -8.846399999999999)
'5764608310152461740',2.02E+16,-123.62,-12.06,32,115.131,-8.8464,POINT (115.130539 -8.846399999999999)
'5764608310152461743',2.02E+16,-120.2,-13.8,5,115.131,-8.84606,POINT (115.130883 -8.846061000000001)
'5764608310152461744',2.02E+16,-124.55,-13.53,69,115.13,-8.84572,POINT (115.129853 -8.845721000000001)
'5764608310152461745',2.02E+16,-128.12,-15.82,8,115.13,-8.84538,POINT (115.129853 -8.845382000000001)
'5764608310152461746',2.02E+16,-126,-12.83,9,115.13,-8.84572,POINT (115.130196 -8.845721000000001)
'5764608310152461747',2.02E+16,-126.93,-15.55,29,115.13,-8.84538,POINT (115.130196 -8.845382000000001)
'5764608310152461748',2.02E+16,-123.67,-16.39,9,115.13,-8.84504,POINT (115.129853 -8.845042999999999)
'5764608310152461749',2.02E+16,-120.76,-12.55,29,115.13,-8.8447,POINT (115.129853 -8.844704)
'5764608310152461753',2.02E+16,-123.5,-14.84,12,115.131,-8.84538,POINT (115.130539 -8.845382000000001)
'5764608310152461756',2.02E+16,-121.41,-16.23,22,115.131,-8.84504,POINT (115.130539 -8.845042999999999)
'5764608310152461757',2.02E+16,-122.6,-11.06,60,115.131,-8.8447,POINT (115.130539 -8.844704)
'5764608310152461770',2.02E+16,-124.2,-15.2,10,115.13,-8.84436,POINT (115.129509 -8.844364000000001)
'5764608310152461771',2.02E+16,-122,-13,2,115.13,-8.84403,POINT (115.129509 -8.844025)
'5764608310152461779',2.02E+16,-126.8,-15.25,10,115.129,-8.84267,POINT (115.128823 -8.842668)
'5764608310152461786',2.02E+16,-121.13,-12.85,38,115.13,-8.84301,POINT (115.129509 -8.843007)
'5764608310152461787',2.02E+16,-127.94,-16.17,18,115.13,-8.84267,POINT (115.129509 -8.842668)
'5764608310152461788',2.02E+16,-128,-18.5,2,115.129,-8.84233,POINT (115.129166 -8.842328999999999)
'5764608310152461795',2.02E+16,-121.8,-16.52,60,115.13,-8.84403,POINT (115.130196 -8.844025)
'5764608310152461798',2.02E+16,-123.94,-13.59,16,115.13,-8.84369,POINT (115.130196 -8.843686)
'5764608310152461807',2.02E+16,-126.28,-14.18,14,115.131,-8.84335,POINT (115.130883 -8.843347)
'5764608310152461809',2.02E+16,-125.78,-13.61,14,115.13,-8.84267,POINT (115.129853 -8.842668)
'5764608310152461815',2.02E+16,-124.08,-14,13,115.13,-8.84199,POINT (115.130196 -8.841989999999999)
'5764608310152461817',2.02E+16,-120.31,-13.51,74,115.131,-8.84267,POINT (115.130539 -8.842668)
'5764608310152461818',2.02E+16,-120.88,-9.63,24,115.131,-8.84301,POINT (115.130883 -8.843007)
'5764608310152461819',2.02E+16,-122.5,-11.69,16,115.131,-8.84267,POINT (115.130883 -8.842668)
'5764608310152461820',2.02E+16,-126.7,-13.8,10,115.131,-8.84233,POINT (115.130539 -8.842328999999999)
'5764608310152461823',2.02E+16,-122.29,-12.7,41,115.131,-8.84199,POINT (115.130883 -8.841989999999999)
'5764608310152462037',2.02E+16,-123.51,-12.56,105,115.134,-8.84742,POINT (115.133973 -8.847417999999999)
'5764608310152462039',2.02E+16,-123.61,-12.11,43,115.134,-8.84742,POINT (115.134316 -8.847417999999999)
'5764608310152462089',2.02E+16,-121.94,-15.9,90,115.132,-8.84674,POINT (115.131913 -8.846738999999999)
'5764608310152462097',2.02E+16,-122.43,-14.7,33,115.131,-8.84538,POINT (115.131226 -8.845382000000001)
'5764608310152462100',2.02E+16,-123.75,-16,28,115.131,-8.84504,POINT (115.131226 -8.845042999999999)
'5764608310152462126',2.02E+16,-121.71,-16.64,119,115.134,-8.8464,POINT (115.133629 -8.846399999999999)
'5764608310152462132',2.02E+16,-121.83,-16.29,12,115.133,-8.84504,POINT (115.132599 -8.845042999999999)
'5764608310152462140',2.02E+16,-125,-13.5,1,115.133,-8.84504,POINT (115.133286 -8.845042999999999)
'5764608310152462141',2.02E+16,-123.33,-12.56,9,115.133,-8.8447,POINT (115.133286 -8.844704)
'5764608310152462142',2.02E+16,-125.07,-17.52,120,115.134,-8.84504,POINT (115.133629 -8.845042999999999)
'5764608310152462149',2.02E+16,-121.47,-11.22,83,115.131,-8.84335,POINT (115.131226 -8.843347)
'5764608310152462153',2.02E+16,-121.38,-17.31,8,115.132,-8.84403,POINT (115.131913 -8.844025)
'5764608310152462162',2.02E+16,-120.71,-10.75,34,115.132,-8.84301,POINT (115.131569 -8.843007)
'5764608310152462164',2.02E+16,-121.24,-12.1,87,115.131,-8.84233,POINT (115.131226 -8.842328999999999)
'5764608310152462165',2.02E+16,-123.69,-13.31,108,115.131,-8.84199,POINT (115.131226 -8.841989999999999)
'5764608310152462166',2.02E+16,-123.69,-12.62,16,115.132,-8.84233,POINT (115.131569 -8.842328999999999)
'5764608310152462170',2.02E+16,-124.09,-12.69,47,115.132,-8.84301,POINT (115.132256 -8.843007)
'5764608310152462173',2.02E+16,-121.09,-16,11,115.132,-8.84199,POINT (115.131913 -8.841989999999999)
'5764608310152462189',2.02E+16,-120.52,-12.39,279,115.133,-8.84335,POINT (115.133286 -8.843347)
'5764608310152462193',2.02E+16,-120.26,-11.66,107,115.133,-8.84267,POINT (115.132599 -8.842668)
'5764608310152462195',2.02E+16,-123.88,-15.62,8,115.133,-8.84267,POINT (115.132943 -8.842668)
'5764608310152462201',2.02E+16,-120.75,-16.63,12,115.133,-8.84267,POINT (115.133286 -8.842668)
'5764608310152462211',2.02E+16,-121.83,-16.41,48,115.134,-8.84674,POINT (115.134316 -8.846738999999999)
'5764608310152462216',2.02E+16,-120.51,-15.95,53,115.135,-8.84708,POINT (115.134659 -8.847078)
'5764608310152462232',2.02E+16,-120.2,-13.78,114,115.135,-8.84572,POINT (115.134659 -8.845721000000001)
'5764608310152462234',2.02E+16,-120.72,-14.21,94,115.135,-8.84572,POINT (115.135002 -8.845721000000001)
'5764608310152462244',2.02E+16,-122.8,-14.2,5,115.135,-8.8464,POINT (115.135346 -8.846399999999999)
'5764608310152462246',2.02E+16,-121.01,-14.12,195,115.136,-8.8464,POINT (115.135689 -8.846399999999999)
'5764608310152462251',2.02E+16,-121.64,-13.77,39,115.136,-8.84674,POINT (115.136376 -8.846738999999999)
'5764608310152462252',2.02E+16,-123.16,-14.95,121,115.136,-8.8464,POINT (115.136032 -8.846399999999999)
'5764608310152462253',2.02E+16,-125.24,-14.47,17,115.136,-8.84606,POINT (115.136032 -8.846061000000001)
'5764608310152462255',2.02E+16,-123.39,-14.93,61,115.136,-8.84606,POINT (115.136376 -8.846061000000001)
