Tile Id,Date,Serving Cell Average RSRP (All),Serving Cell Average RSRQ (All),Total MR Count,Longitude,Latitude,geometry,cluster
'5764608310152509932',2.02E+16,-120.61,-16.61,2273,115.131,-8.81112,POINT (115.131 -8.811119999999999),5
'5764608310152509936',2.02E+16,-124.39,-17.94,127,115.13,-8.81044,POINT (115.13 -8.81044),5
'5764608310152509938',2.02E+16,-120.79,-14.64,1583,115.13,-8.81044,POINT (115.13 -8.81044),5
'5764608310152509939',2.02E+16,-121.47,-17.99,778,115.13,-8.8101,POINT (115.13 -8.8101),5
'5764608310152509948',2.02E+16,-122,-18.43,14,115.131,-8.80976,POINT (115.131 -8.809760000000001),5
'5764608310152509950',2.02E+16,-122.24,-18.36,25,115.131,-8.80976,POINT (115.131 -8.809760000000001),5
'5764608310152509964',2.02E+16,-122.69,-16.77,35,115.132,-8.81926,POINT (115.132 -8.81926),0
'5764608310152509970',2.02E+16,-120.8,-13.4,5,115.132,-8.81858,POINT (115.132 -8.818580000000001),0
'5764608310152509975',2.02E+16,-122,-15.31,26,115.132,-8.81756,POINT (115.132 -8.81756),0
'5764608310152509976',2.02E+16,-124.33,-17.25,6,115.132,-8.81858,POINT (115.132 -8.818580000000001),0
'5764608310152509989',2.02E+16,-121.61,-17.28,85,115.133,-8.81892,POINT (115.133 -8.81892),0
'5764608310152509990',2.02E+16,-125.69,-18.58,13,115.133,-8.81926,POINT (115.133 -8.81926),0
'5764608310152509992',2.02E+16,-123.12,-17.42,25,115.133,-8.81994,POINT (115.133 -8.819939999999999),0
'5764608310152509995',2.02E+16,-120.98,-14.43,59,115.134,-8.8196,POINT (115.134 -8.819599999999999),0
'5764608310152509996',2.02E+16,-120.52,-16.27,58,115.133,-8.81926,POINT (115.133 -8.81926),0
'5764608310152510019',2.02E+16,-122.62,-16.93,13,115.132,-8.81688,POINT (115.132 -8.816880000000001),0
'5764608310152510030',2.02E+16,-124.14,-13.93,14,115.132,-8.81655,POINT (115.132 -8.816549999999999),0
'5764608310152510038',2.02E+16,-124.96,-17.97,49,115.132,-8.81519,POINT (115.132 -8.815189999999999),0
'5764608310152510054',2.02E+16,-120.31,-15,80,115.133,-8.81655,POINT (115.133 -8.816549999999999),0
'5764608310152510067',2.02E+16,-124.5,-13,2,115.133,-8.81553,POINT (115.133 -8.815530000000001),0
'5764608310152510069',2.02E+16,-122.48,-11.48,25,115.133,-8.81485,POINT (115.133 -8.81485),0
'5764608310152510072',2.02E+16,-121.25,-15.19,69,115.133,-8.81587,POINT (115.133 -8.81587),0
'5764608310152510076',2.02E+16,-121.75,-20,4,115.133,-8.81519,POINT (115.133 -8.815189999999999),0
'5764608310152510079',2.02E+16,-127.38,-16.44,8,115.134,-8.81485,POINT (115.134 -8.81485),0
'5764608310152510080',2.02E+16,-120.96,-16.65,53,115.134,-8.81994,POINT (115.134 -8.819939999999999),0
'5764608310152510089',2.02E+16,-123,-17.18,17,115.135,-8.8196,POINT (115.135 -8.819599999999999),0
'5764608310152510095',2.02E+16,-120.48,-16.09,31,115.135,-8.81892,POINT (115.135 -8.81892),0
'5764608310152510113',2.02E+16,-123.94,-15.36,180,115.135,-8.8196,POINT (115.135 -8.819599999999999),0
'5764608310152510120',2.02E+16,-127.92,-14.33,159,115.136,-8.81994,POINT (115.136 -8.819939999999999),0
'5764608310152510124',2.02E+16,-120.4,-15.05,10,115.136,-8.81926,POINT (115.136 -8.81926),0
'5764608310152510126',2.02E+16,-128,-15.15,13,115.136,-8.81926,POINT (115.136 -8.81926),0
'5764608310152510136',2.02E+16,-120.25,-14.63,20,115.136,-8.81858,POINT (115.136 -8.818580000000001),0
'5764608310152510144',2.02E+16,-121,-20,3,115.134,-8.81722,POINT (115.134 -8.817219999999999),0
'5764608310152510146',2.02E+16,-120.91,-16.17,90,115.134,-8.81722,POINT (115.134 -8.817219999999999),0
'5764608310152510178',2.02E+16,-121.04,-16.69,189,115.136,-8.81722,POINT (115.136 -8.817219999999999),0
'5764608310152510183',2.02E+16,-122.75,-18.62,4,115.136,-8.81621,POINT (115.136 -8.81621),0
'5764608310152510185',2.02E+16,-120.77,-15.47,274,115.136,-8.81688,POINT (115.136 -8.816880000000001),0
'5764608310152510189',2.02E+16,-123.05,-18.27,22,115.136,-8.81621,POINT (115.136 -8.81621),0
'5764608310152510195',2.02E+16,-120.33,-20,3,115.136,-8.81553,POINT (115.136 -8.815530000000001),0
'5764608310152510199',2.02E+16,-120.63,-18.15,194,115.136,-8.81485,POINT (115.136 -8.81485),0
'5764608310152510202',2.02E+16,-121.78,-12.02,560,115.136,-8.81587,POINT (115.136 -8.81587),0
'5764608310152510203',2.02E+16,-120.18,-12.04,38,115.136,-8.81553,POINT (115.136 -8.815530000000001),0
'5764608310152510210',2.02E+16,-121.6,-17.9,135,115.132,-8.81451,POINT (115.132 -8.81451),0
'5764608310152510220',2.02E+16,-123.79,-18.89,19,115.132,-8.81383,POINT (115.132 -8.813830000000001),5
'5764608310152510224',2.02E+16,-120.25,-19.43,8,115.131,-8.81315,POINT (115.131 -8.81315),5
'5764608310152510229',2.02E+16,-120.33,-16.4,42,115.131,-8.81213,POINT (115.131 -8.81213),5
'5764608310152510236',2.02E+16,-121.97,-11.94,734,115.132,-8.81247,POINT (115.132 -8.812469999999999),5
'5764608310152510252',2.02E+16,-121.08,-18.58,37,115.133,-8.81383,POINT (115.133 -8.813830000000001),0
'5764608310152510259',2.02E+16,-121.06,-18,16,115.133,-8.81281,POINT (115.133 -8.812810000000001),5
'5764608310152510264',2.02E+16,-120.67,-16.83,9,115.133,-8.81315,POINT (115.133 -8.81315),5
'5764608310152510265',2.02E+16,-123.09,-17.67,32,115.133,-8.81281,POINT (115.133 -8.812810000000001),5
'5764608310152510269',2.02E+16,-122.69,-14.66,13,115.133,-8.81213,POINT (115.133 -8.81213),5
'5764608310152510274',2.02E+16,-122.69,-18.44,23,115.132,-8.8118,POINT (115.132 -8.8118),5
'5764608310152510275',2.02E+16,-120.5,-16.56,42,115.132,-8.81146,POINT (115.132 -8.81146),5
'5764608310152510278',2.02E+16,-120.49,-14.4,84,115.132,-8.81112,POINT (115.132 -8.811119999999999),5
'5764608310152510281',2.02E+16,-123.03,-19.54,35,115.132,-8.81146,POINT (115.132 -8.81146),5
'5764608310152510286',2.02E+16,-120.41,-17.1,29,115.132,-8.81112,POINT (115.132 -8.811119999999999),5
'5764608310152510302',2.02E+16,-123.94,-18.24,17,115.132,-8.80976,POINT (115.132 -8.809760000000001),5
'5764608310152510307',2.02E+16,-120.75,-12.62,4,115.133,-8.81146,POINT (115.133 -8.81146),5
'5764608310152510324',2.02E+16,-122,-17.5,7,115.133,-8.80976,POINT (115.133 -8.809760000000001),5
'5764608310152510328',2.02E+16,-120.03,-17.11,66,115.133,-8.81044,POINT (115.133 -8.81044),5
'5764608310152510335',2.02E+16,-121.72,-15.96,196,115.134,-8.80942,POINT (115.134 -8.809419999999999),5
'5764608310152510337',2.02E+16,-123.04,-19.98,28,115.134,-8.81417,POINT (115.134 -8.814169999999999),0
'5764608310152510381',2.02E+16,-123.63,-12.71,2642,115.136,-8.81349,POINT (115.136 -8.81349),0
'5764608310152510391',2.02E+16,-123.87,-16.5,16,115.136,-8.81213,POINT (115.136 -8.81213),5
'5764608310152510393',2.02E+16,-120.54,-19.29,26,115.136,-8.81281,POINT (115.136 -8.812810000000001),0
