Tile Id,Date,Serving Cell Average RSRP (All),Serving Cell Average RSRQ (All),Total MR Count,Longitude,Latitude,geometry,cluster
'5764608310152462037',2.02E+16,-123.51,-12.56,105,115.134,-8.84742,POINT (115.134 -8.84742),2
'5764608310152462039',2.02E+16,-123.61,-12.11,43,115.134,-8.84742,POINT (115.134 -8.84742),2
'5764608310152462089',2.02E+16,-121.94,-15.9,90,115.132,-8.84674,POINT (115.132 -8.846739999999999),7
'5764608310152462097',2.02E+16,-122.43,-14.7,33,115.131,-8.84538,POINT (115.131 -8.84538),7
'5764608310152462100',2.02E+16,-123.75,-16,28,115.131,-8.84504,POINT (115.131 -8.845039999999999),7
'5764608310152462126',2.02E+16,-121.71,-16.64,119,115.134,-8.8464,POINT (115.134 -8.846399999999999),2
'5764608310152462132',2.02E+16,-121.83,-16.29,12,115.133,-8.84504,POINT (115.133 -8.845039999999999),2
'5764608310152462140',2.02E+16,-125,-13.5,1,115.133,-8.84504,POINT (115.133 -8.845039999999999),2
'5764608310152462141',2.02E+16,-123.33,-12.56,9,115.133,-8.8447,POINT (115.133 -8.8447),2
'5764608310152462142',2.02E+16,-125.07,-17.52,120,115.134,-8.84504,POINT (115.134 -8.845039999999999),2
'5764608310152462149',2.02E+16,-121.47,-11.22,83,115.131,-8.84335,POINT (115.131 -8.843349999999999),2
'5764608310152462153',2.02E+16,-121.38,-17.31,8,115.132,-8.84403,POINT (115.132 -8.84403),2
'5764608310152462162',2.02E+16,-120.71,-10.75,34,115.132,-8.84301,POINT (115.132 -8.843010000000001),2
'5764608310152462164',2.02E+16,-121.24,-12.1,87,115.131,-8.84233,POINT (115.131 -8.84233),2
'5764608310152462165',2.02E+16,-123.69,-13.31,108,115.131,-8.84199,POINT (115.131 -8.841989999999999),2
'5764608310152462166',2.02E+16,-123.69,-12.62,16,115.132,-8.84233,POINT (115.132 -8.84233),2
'5764608310152462170',2.02E+16,-124.09,-12.69,47,115.132,-8.84301,POINT (115.132 -8.843010000000001),2
'5764608310152462173',2.02E+16,-121.09,-16,11,115.132,-8.84199,POINT (115.132 -8.841989999999999),2
'5764608310152462189',2.02E+16,-120.52,-12.39,279,115.133,-8.84335,POINT (115.133 -8.843349999999999),2
'5764608310152462193',2.02E+16,-120.26,-11.66,107,115.133,-8.84267,POINT (115.133 -8.84267),2
'5764608310152462195',2.02E+16,-123.88,-15.62,8,115.133,-8.84267,POINT (115.133 -8.84267),2
'5764608310152462201',2.02E+16,-120.75,-16.63,12,115.133,-8.84267,POINT (115.133 -8.84267),2
'5764608310152462211',2.02E+16,-121.83,-16.41,48,115.134,-8.84674,POINT (115.134 -8.846739999999999),2
'5764608310152462216',2.02E+16,-120.51,-15.95,53,115.135,-8.84708,POINT (115.135 -8.84708),2
'5764608310152462232',2.02E+16,-120.2,-13.78,114,115.135,-8.84572,POINT (115.135 -8.84572),2
'5764608310152462234',2.02E+16,-120.72,-14.21,94,115.135,-8.84572,POINT (115.135 -8.84572),2
'5764608310152462244',2.02E+16,-122.8,-14.2,5,115.135,-8.8464,POINT (115.135 -8.846399999999999),2
'5764608310152462246',2.02E+16,-121.01,-14.12,195,115.136,-8.8464,POINT (115.136 -8.846399999999999),2
'5764608310152462251',2.02E+16,-121.64,-13.77,39,115.136,-8.84674,POINT (115.136 -8.846739999999999),2
'5764608310152462252',2.02E+16,-123.16,-14.95,121,115.136,-8.8464,POINT (115.136 -8.846399999999999),2
'5764608310152462253',2.02E+16,-125.24,-14.47,17,115.136,-8.84606,POINT (115.136 -8.846060000000001),2
'5764608310152462255',2.02E+16,-123.39,-14.93,61,115.136,-8.84606,POINT (115.136 -8.846060000000001),2
'5764608310152462256',2.02E+16,-124.98,-16.76,48,115.135,-8.84572,POINT (115.135 -8.84572),2
'5764608310152462258',2.02E+16,-125.59,-15.82,53,115.136,-8.84572,POINT (115.136 -8.84572),2
'5764608310152462259',2.02E+16,-122.45,-14.52,33,115.136,-8.84538,POINT (115.136 -8.84538),2
'5764608310152462262',2.02E+16,-122.64,-13.99,96,115.136,-8.84504,POINT (115.136 -8.845039999999999),2
'5764608310152462265',2.02E+16,-126.25,-20,4,115.136,-8.84538,POINT (115.136 -8.84538),2
'5764608310152462267',2.02E+16,-120.74,-15.79,99,115.136,-8.84538,POINT (115.136 -8.84538),2
'5764608310152462268',2.02E+16,-121.74,-13,27,115.136,-8.84504,POINT (115.136 -8.845039999999999),2
'5764608310152462270',2.02E+16,-120.58,-14.18,122,115.136,-8.84504,POINT (115.136 -8.845039999999999),2
'5764608310152462272',2.02E+16,-123.17,-17.83,12,115.134,-8.84436,POINT (115.134 -8.84436),2
'5764608310152462297',2.02E+16,-125.86,-18.22,7,115.135,-8.84267,POINT (115.135 -8.84267),2
'5764608310152462299',2.02E+16,-123.14,-12.36,7,115.135,-8.84267,POINT (115.135 -8.84267),2
'5764608310152462301',2.02E+16,-122.57,-17.06,39,115.135,-8.84199,POINT (115.135 -8.841989999999999),2
'5764608310152462315',2.02E+16,-124.2,-12.37,15,115.136,-8.84403,POINT (115.136 -8.84403),2
'5764608310152462318',2.02E+16,-121.26,-14.51,186,115.136,-8.84369,POINT (115.136 -8.843689999999999),2
'5764608310152462323',2.02E+16,-121.4,-15.75,30,115.136,-8.84267,POINT (115.136 -8.84267),2
'5764608310152462326',2.02E+16,-125.12,-17.39,49,115.136,-8.84233,POINT (115.136 -8.84233),2
'5764608310152462327',2.02E+16,-125.67,-16.62,42,115.136,-8.84199,POINT (115.136 -8.841989999999999),2
'5764608310152462335',2.02E+16,-123.49,-15.7,106,115.136,-8.84199,POINT (115.136 -8.841989999999999),2
'5764608310152473304',2.02E+16,-121.56,-15.56,9,115.091,-8.83758,POINT (115.091 -8.837580000000001),12
'5764608310152473328',2.02E+16,-125.85,-15.73,13,115.091,-8.83758,POINT (115.091 -8.837580000000001),12
'5764608310152473332',2.02E+16,-123.91,-17.93,21,115.091,-8.8369,POINT (115.091 -8.8369),12
'5764608310152473338',2.02E+16,-122,-14,12,115.092,-8.83758,POINT (115.092 -8.837580000000001),12
'5764608310152473508',2.02E+16,-122.88,-17.62,8,115.091,-8.83554,POINT (115.091 -8.83554),12
'5764608310152473529',2.02E+16,-128.33,-16.17,3,115.092,-8.83453,POINT (115.092 -8.834530000000001),12
'5764608310152473532',2.02E+16,-123.33,-13.33,3,115.092,-8.83419,POINT (115.092 -8.83419),6
'5764608310152473565',2.02E+16,-126,-20,1,115.091,-8.83113,POINT (115.091 -8.83113),6
'5764608310152473570',2.02E+16,-126,-17.9,5,115.092,-8.83351,POINT (115.092 -8.83351),6
'5764608310152473598',2.02E+16,-122,-18.5,3,115.092,-8.83147,POINT (115.092 -8.831469999999999),6
'5764608310152473726',2.02E+16,-128.75,-20,4,115.084,-8.82605,POINT (115.084 -8.82605),10
'5764608310152473834',2.02E+16,-122.44,-15.44,9,115.087,-8.82808,POINT (115.087 -8.82808),6
'5764608310152474125',2.02E+16,-130.8,-20,5,115.088,-8.82978,POINT (115.088 -8.82978),6
'5764608310152474156',2.02E+16,-120.56,-18.89,27,115.089,-8.83012,POINT (115.089 -8.830119999999999),6
'5764608310152474229',2.02E+16,-121,-20,4,115.089,-8.82571,POINT (115.089 -8.825710000000001),10
'5764608310152474232',2.02E+16,-121.79,-17.53,43,115.089,-8.82672,POINT (115.089 -8.82672),6
'5764608310152474264',2.02E+16,-120.47,-19.83,15,115.091,-8.82944,POINT (115.091 -8.82944),6
'5764608310152474265',2.02E+16,-120.54,-13.48,22,115.091,-8.8291,POINT (115.091 -8.8291),6
'5764608310152474293',2.02E+16,-126.5,-19,2,115.091,-8.82842,POINT (115.091 -8.828419999999999),6
'5764608310152474298',2.02E+16,-121.06,-16.54,34,115.092,-8.82944,POINT (115.092 -8.82944),6
'5764608310152474299',2.02E+16,-121.27,-15.96,861,115.092,-8.8291,POINT (115.092 -8.8291),6
'5764608310152474319',2.02E+16,-122.27,-17.33,15,115.091,-8.82706,POINT (115.091 -8.827060000000001),6
'5764608310152474322',2.02E+16,-122.1,-16.3,153,115.09,-8.82672,POINT (115.09 -8.82672),6
'5764608310152474333',2.02E+16,-120.87,-12.98,2278,115.091,-8.82571,POINT (115.091 -8.825710000000001),6
'5764608310152474336',2.02E+16,-120.43,-15.94,1751,115.091,-8.82808,POINT (115.091 -8.82808),6
'5764608310152474350',2.02E+16,-120.53,-11.99,213,115.092,-8.8274,POINT (115.092 -8.827400000000001),6
'5764608310152474355',2.02E+16,-120.1,-17.27,712,115.092,-8.82638,POINT (115.092 -8.82638),6
'5764608310152474373',2.02E+16,-124.63,-18.57,267,115.087,-8.82435,POINT (115.087 -8.824350000000001),10
'5764608310152474382',2.02E+16,-121.18,-12.43,55,115.088,-8.82469,POINT (115.088 -8.824689999999999),10
'5764608310152474404',2.02E+16,-120.41,-16.41,17,115.089,-8.82469,POINT (115.089 -8.824689999999999),10
'5764608310152474430',2.02E+16,-120.8,-13.52,126,115.09,-8.82333,POINT (115.09 -8.82333),10
'5764608310152474442',2.02E+16,-120.93,-14.09,109,115.088,-8.82265,POINT (115.088 -8.822649999999999),10
'5764608310152474476',2.02E+16,-128.95,-19.42,19,115.089,-8.82197,POINT (115.089 -8.82197),10
'5764608310152474493',2.02E+16,-122.8,-16.8,5,115.089,-8.82028,POINT (115.089 -8.82028),10
'5764608310152474497',2.02E+16,-126.64,-19.5,11,115.09,-8.82503,POINT (115.09 -8.82503),10
'5764608310152474513',2.02E+16,-123.54,-14.6,24,115.09,-8.82367,POINT (115.09 -8.82367),10
'5764608310152474521',2.02E+16,-120.98,-13.11,57,115.091,-8.82367,POINT (115.091 -8.82367),10
'5764608310152474536',2.02E+16,-120.3,-13.43,3586,115.092,-8.82537,POINT (115.092 -8.825369999999999),6
'5764608310152476847',2.02E+16,-121.99,-15.03,375,115.087,-8.81892,POINT (115.087 -8.81892),10
'5764608310152477189',2.02E+16,-121.64,-15.96,148,115.087,-8.81892,POINT (115.087 -8.81892),10
'5764608310152477193',2.02E+16,-123.43,-17.21,7,115.088,-8.8196,POINT (115.088 -8.819599999999999),10
'5764608310152477197',2.02E+16,-121.47,-14.65,40,115.088,-8.81892,POINT (115.088 -8.81892),10
'5764608310152477203',2.02E+16,-120.82,-14.47,101,115.088,-8.81824,POINT (115.088 -8.818239999999999),10
'5764608310152477204',2.02E+16,-120.32,-13.2,142,115.087,-8.8179,POINT (115.087 -8.8179),10
'5764608310152477213',2.02E+16,-121.63,-14.13,94,115.088,-8.81756,POINT (115.088 -8.81756),10
'5764608310152477218',2.02E+16,-121.03,-12.19,505,115.089,-8.81994,POINT (115.089 -8.819939999999999),10
'5764608310152477428',2.02E+16,-120.64,-14.68,11,115.091,-8.81519,POINT (115.091 -8.815189999999999),10
'5764608310152477568',2.02E+16,-124.9,-14.7,10,115.09,-8.81451,POINT (115.09 -8.81451),10
'5764608310152477577',2.02E+16,-120.25,-19.33,620,115.091,-8.81417,POINT (115.091 -8.814169999999999),10
'5764608310152477579',2.02E+16,-123.83,-14.91,121,115.091,-8.81417,POINT (115.091 -8.814169999999999),10
'5764608310152477614',2.02E+16,-128,-20,4,115.092,-8.81383,POINT (115.092 -8.813830000000001),10
'5764608310152495156',2.02E+16,-130.75,-16.56,8,115.094,-8.83962,POINT (115.094 -8.83962),12
'5764608310152495167',2.02E+16,-121.16,-13.9,56,115.095,-8.83928,POINT (115.095 -8.83928),12
'5764608310152495176',2.02E+16,-126.67,-13.08,6,115.093,-8.83894,POINT (115.093 -8.838939999999999),12
'5764608310152495178',2.02E+16,-128,-16.67,3,115.094,-8.83894,POINT (115.094 -8.838939999999999),12
'5764608310152495186',2.02E+16,-122.17,-14.8,18,115.093,-8.83758,POINT (115.093 -8.837580000000001),12
'5764608310152495195',2.02E+16,-120.71,-12.27,209,115.094,-8.83724,POINT (115.094 -8.83724),12
'5764608310152495198',2.02E+16,-122.04,-12.8,23,115.094,-8.8369,POINT (115.094 -8.8369),12
'5764608310152495203',2.02E+16,-127,-20,3,115.094,-8.8386,POINT (115.094 -8.8386),12
'5764608310152495206',2.02E+16,-122.96,-12.81,26,115.094,-8.83826,POINT (115.094 -8.83826),12
'5764608310152495207',2.02E+16,-122.05,-18.34,19,115.094,-8.83792,POINT (115.094 -8.83792),12
'5764608310152495210',2.02E+16,-120.16,-14.27,13,115.095,-8.83894,POINT (115.095 -8.838939999999999),12
'5764608310152495219',2.02E+16,-120.97,-13.16,31,115.094,-8.83724,POINT (115.094 -8.83724),12
'5764608310152495222',2.02E+16,-122.68,-11.65,116,115.094,-8.8369,POINT (115.094 -8.8369),12
'5764608310152495231',2.02E+16,-123.33,-11.53,49,115.095,-8.83656,POINT (115.095 -8.83656),12
'5764608310152495247',2.02E+16,-121.63,-12.94,8,115.097,-8.84063,POINT (115.097 -8.840630000000001),12
'5764608310152495249',2.02E+16,-120.21,-11.29,28,115.096,-8.83995,POINT (115.096 -8.83995),12
'5764608310152495254',2.02E+16,-124,-15.17,3,115.096,-8.83962,POINT (115.096 -8.83962),12
'5764608310152495255',2.02E+16,-121.3,-12.26,203,115.096,-8.83928,POINT (115.096 -8.83928),12
'5764608310152495261',2.02E+16,-120.58,-12.71,12,115.096,-8.83928,POINT (115.096 -8.83928),12
'5764608310152495262',2.02E+16,-120.5,-15.25,20,115.097,-8.83962,POINT (115.097 -8.83962),12
'5764608310152495269',2.02E+16,-122,-11.75,2,115.097,-8.84063,POINT (115.097 -8.840630000000001),12
'5764608310152495302',2.02E+16,-123.23,-12.67,9,115.096,-8.83826,POINT (115.096 -8.83826),12
'5764608310152495307',2.02E+16,-121.32,-12.9,59,115.097,-8.8386,POINT (115.097 -8.8386),12
'5764608310152495310',2.02E+16,-122.61,-12.92,36,115.097,-8.83826,POINT (115.097 -8.83826),12
'5764608310152495317',2.02E+16,-123.84,-11.93,61,115.096,-8.83656,POINT (115.096 -8.83656),12
'5764608310152495326',2.02E+16,-124.11,-14.72,9,115.097,-8.8369,POINT (115.097 -8.8369),12
'5764608310152495335',2.02E+16,-125,-15,1,115.097,-8.83792,POINT (115.097 -8.83792),12
'5764608310152495337',2.02E+16,-122,-12,6,115.098,-8.8386,POINT (115.098 -8.8386),12
'5764608310152495340',2.02E+16,-121.1,-13.65,10,115.098,-8.83826,POINT (115.098 -8.83826),12
'5764608310152495342',2.02E+16,-120.2,-11.32,54,115.098,-8.83826,POINT (115.098 -8.83826),12
'5764608310152495345',2.02E+16,-121.63,-12.55,145,115.097,-8.83724,POINT (115.097 -8.83724),12
'5764608310152495346',2.02E+16,-122.83,-13.69,85,115.097,-8.83758,POINT (115.097 -8.837580000000001),12
'5764608310152495354',2.02E+16,-122.94,-14.06,100,115.098,-8.83758,POINT (115.098 -8.837580000000001),12
'5764608310152495372',2.02E+16,-123,-20,2,115.093,-8.83554,POINT (115.093 -8.83554),12
'5764608310152495373',2.02E+16,-121.65,-14.81,888,115.093,-8.83521,POINT (115.093 -8.83521),12
'5764608310152495378',2.02E+16,-121.71,-11.32,17,115.093,-8.83487,POINT (115.093 -8.83487),12
'5764608310152495389',2.02E+16,-121.9,-16.68,20,115.093,-8.83385,POINT (115.093 -8.83385),6
'5764608310152495398',2.02E+16,-122.2,-14.1,5,115.094,-8.83554,POINT (115.094 -8.83554),12
'5764608310152495399',2.02E+16,-121.06,-12.71,33,115.094,-8.83521,POINT (115.094 -8.83521),12
'5764608310152495406',2.02E+16,-120.6,-14.15,109,115.095,-8.83554,POINT (115.095 -8.83554),12
'5764608310152495407',2.02E+16,-120.89,-14.69,237,115.095,-8.83521,POINT (115.095 -8.83521),12
'5764608310152495410',2.02E+16,-121.64,-13.27,39,115.094,-8.83487,POINT (115.094 -8.83487),12
'5764608310152495420',2.02E+16,-121.2,-14.6,5,115.095,-8.83419,POINT (115.095 -8.83419),12
'5764608310152495432',2.02E+16,-121.96,-12.63,23,115.093,-8.83351,POINT (115.093 -8.83351),6
'5764608310152495439',2.02E+16,-121,-14.83,3,115.094,-8.83249,POINT (115.094 -8.83249),6
'5764608310152495444',2.02E+16,-120.67,-15.17,6,115.093,-8.83147,POINT (115.093 -8.831469999999999),6
'5764608310152495447',2.02E+16,-126,-17.5,2,115.093,-8.83113,POINT (115.093 -8.83113),6
'5764608310152495454',2.02E+16,-125,-17,4,115.094,-8.83147,POINT (115.094 -8.831469999999999),6
'5764608310152495461',2.02E+16,-126.67,-16.5,6,115.094,-8.83249,POINT (115.094 -8.83249),6
'5764608310152495462',2.02E+16,-120.75,-15,8,115.094,-8.83283,POINT (115.094 -8.83283),6
'5764608310152495476',2.02E+16,-121.16,-15.37,38,115.094,-8.83147,POINT (115.094 -8.831469999999999),6
'5764608310152495479',2.02E+16,-121.24,-11.83,21,115.094,-8.83113,POINT (115.094 -8.83113),6
'5764608310152495481',2.02E+16,-121.34,-13.63,68,115.095,-8.83181,POINT (115.095 -8.831810000000001),6
'5764608310152495483',2.02E+16,-124.33,-17.42,6,115.095,-8.83181,POINT (115.095 -8.831810000000001),6
'5764608310152495488',2.02E+16,-122.14,-10.86,43,115.096,-8.83622,POINT (115.096 -8.836219999999999),12
'5764608310152495514',2.02E+16,-121.9,-13.5,10,115.097,-8.83487,POINT (115.097 -8.83487),12
'5764608310152495523',2.02E+16,-120.86,-13.8,216,115.097,-8.83588,POINT (115.097 -8.83588),12
'5764608310152495532',2.02E+16,-121.62,-15.75,8,115.098,-8.83554,POINT (115.098 -8.83554),12
'5764608310152495534',2.02E+16,-126,-18.38,4,115.098,-8.83554,POINT (115.098 -8.83554),12
'5764608310152495538',2.02E+16,-121.75,-11.56,53,115.097,-8.83487,POINT (115.097 -8.83487),12
'5764608310152495560',2.02E+16,-124,-18.3,10,115.096,-8.83351,POINT (115.096 -8.83351),12
'5764608310152495562',2.02E+16,-121.65,-14.29,17,115.097,-8.83351,POINT (115.097 -8.83351),12
'5764608310152495570',2.02E+16,-122,-14.05,9,115.096,-8.83215,POINT (115.096 -8.83215),6
'5764608310152495581',2.02E+16,-129,-18,3,115.096,-8.83113,POINT (115.096 -8.83113),6
'5764608310152495611',2.02E+16,-127,-15.5,1,115.098,-8.83181,POINT (115.098 -8.831810000000001),6
'5764608310152495614',2.02E+16,-126.67,-17.17,3,115.098,-8.83147,POINT (115.098 -8.831469999999999),6
'5764608310152495649',2.02E+16,-122,-18.5,1,115.1,-8.84131,POINT (115.1 -8.84131),12
'5764608310152495669',2.02E+16,-122.21,-12.94,134,115.1,-8.83928,POINT (115.1 -8.83928),12
'5764608310152495671',2.02E+16,-120.04,-13.48,26,115.1,-8.83928,POINT (115.1 -8.83928),12
'5764608310152495676',2.02E+16,-122.55,-15.29,33,115.1,-8.83962,POINT (115.1 -8.83962),12
'5764608310152495679',2.02E+16,-120.07,-11.37,71,115.101,-8.83928,POINT (115.101 -8.83928),12
'5764608310152495685',2.02E+16,-123,-13.5,2,115.098,-8.83792,POINT (115.098 -8.83792),12
'5764608310152495689',2.02E+16,-121.75,-10.5,12,115.099,-8.8386,POINT (115.099 -8.8386),12
'5764608310152495693',2.02E+16,-122.5,-17.18,14,115.099,-8.83792,POINT (115.099 -8.83792),12
'5764608310152495697',2.02E+16,-120.65,-13.39,65,115.098,-8.83724,POINT (115.098 -8.83724),12
'5764608310152495705',2.02E+16,-121.33,-15,6,115.099,-8.83724,POINT (115.099 -8.83724),12
'5764608310152495714',2.02E+16,-121,-9.5,2,115.1,-8.83894,POINT (115.1 -8.838939999999999),12
'5764608310152495720',2.02E+16,-123.17,-14,517,115.1,-8.83894,POINT (115.1 -8.838939999999999),12
'5764608310152495725',2.02E+16,-126.95,-17.38,21,115.1,-8.83792,POINT (115.1 -8.83792),12
'5764608310152495731',2.02E+16,-121,-16.18,39,115.1,-8.83724,POINT (115.1 -8.83724),12
'5764608310152495741',2.02E+16,-120.5,-11.95,28,115.1,-8.83656,POINT (115.1 -8.83656),12
'5764608310152495755',2.02E+16,-120.75,-15.5,12,115.102,-8.84131,POINT (115.102 -8.84131),12
'5764608310152495756',2.02E+16,-120.5,-14,12,115.102,-8.84097,POINT (115.102 -8.84097),12
'5764608310152495797',2.02E+16,-122.12,-14.59,17,115.102,-8.83928,POINT (115.102 -8.83928),12
'5764608310152495819',2.02E+16,-130,-18,3,115.102,-8.8386,POINT (115.102 -8.8386),12
'5764608310152495837',2.02E+16,-121.26,-14.36,54,115.102,-8.83656,POINT (115.102 -8.83656),12
'5764608310152495839',2.02E+16,-124.02,-13.64,149,115.102,-8.83656,POINT (115.102 -8.83656),12
'5764608310152495855',2.02E+16,-121.16,-12.44,25,115.103,-8.83792,POINT (115.103 -8.83792),12
'5764608310152495862',2.02E+16,-122.66,-14.36,261,115.103,-8.8369,POINT (115.103 -8.8369),12
'5764608310152495864',2.02E+16,-123.53,-14.12,17,115.103,-8.83758,POINT (115.103 -8.837580000000001),12
'5764608310152495868',2.02E+16,-121.02,-13.99,426,115.103,-8.8369,POINT (115.103 -8.8369),12
'5764608310152495877',2.02E+16,-121.62,-11.86,71,115.098,-8.83521,POINT (115.098 -8.83521),12
'5764608310152495885',2.02E+16,-120.61,-10.24,23,115.099,-8.83521,POINT (115.099 -8.83521),12
'5764608310152495888',2.02E+16,-121.29,-14.21,7,115.098,-8.83487,POINT (115.098 -8.83487),12
'5764608310152495906',2.02E+16,-120.61,-13.21,82,115.1,-8.83622,POINT (115.1 -8.836219999999999),12
'5764608310152495915',2.02E+16,-120.06,-12.38,70,115.101,-8.83588,POINT (115.101 -8.83588),12
'5764608310152495920',2.02E+16,-121.15,-15.23,69,115.1,-8.83487,POINT (115.1 -8.83487),12
'5764608310152495928',2.02E+16,-120.28,-13.38,54,115.1,-8.83487,POINT (115.1 -8.83487),12
'5764608310152495943',2.02E+16,-120.35,-12.72,74,115.099,-8.83249,POINT (115.099 -8.83249),12
'5764608310152495948',2.02E+16,-120.93,-15.46,41,115.099,-8.83283,POINT (115.099 -8.83283),12
'5764608310152495958',2.02E+16,-120.56,-12.48,32,115.099,-8.83147,POINT (115.099 -8.831469999999999),1
'5764608310152495960',2.02E+16,-121.29,-13.86,7,115.099,-8.83215,POINT (115.099 -8.83215),1
'5764608310152495971',2.02E+16,-122.11,-14,9,115.1,-8.83317,POINT (115.1 -8.833169999999999),12
'5764608310152495979',2.02E+16,-121,-14,4,115.101,-8.83317,POINT (115.101 -8.833169999999999),1
'5764608310152495981',2.02E+16,-121.71,-13.96,383,115.1,-8.83249,POINT (115.1 -8.83249),1
'5764608310152496017',2.02E+16,-123.33,-12.47,15,115.101,-8.83453,POINT (115.101 -8.834530000000001),12
'5764608310152496027',2.02E+16,-123,-14.62,4,115.102,-8.83453,POINT (115.102 -8.834530000000001),12
'5764608310152496052',2.02E+16,-122.89,-15.95,9,115.102,-8.83419,POINT (115.102 -8.83419),12
'5764608310152496054',2.02E+16,-120.39,-12.6,54,115.103,-8.83419,POINT (115.103 -8.83419),1
'5764608310152496069',2.02E+16,-120.75,-20,4,115.101,-8.83249,POINT (115.101 -8.83249),1
'5764608310152496081',2.02E+16,-121.89,-11.98,78,115.101,-8.83181,POINT (115.101 -8.831810000000001),1
'5764608310152496089',2.02E+16,-122.11,-12.04,170,115.102,-8.83181,POINT (115.102 -8.831810000000001),1
'5764608310152496092',2.02E+16,-120.33,-14.08,6,115.102,-8.83147,POINT (115.102 -8.831469999999999),1
'5764608310152496095',2.02E+16,-121.47,-14.53,36,115.102,-8.83113,POINT (115.102 -8.83113),1
'5764608310152496100',2.02E+16,-123.29,-14.46,94,115.102,-8.83283,POINT (115.102 -8.83283),1
'5764608310152496101',2.02E+16,-122,-11.25,2,115.102,-8.83249,POINT (115.102 -8.83249),1
'5764608310152496117',2.02E+16,-120.83,-12.12,30,115.102,-8.83113,POINT (115.102 -8.83113),1
'5764608310152496133',2.02E+16,-125,-16.5,2,115.093,-8.82978,POINT (115.093 -8.82978),6
'5764608310152496138',2.02E+16,-124.72,-17.86,7,115.094,-8.8308,POINT (115.094 -8.8308),6
'5764608310152496139',2.02E+16,-123.39,-16.94,26,115.094,-8.83046,POINT (115.094 -8.83046),6
'5764608310152496140',2.02E+16,-121.5,-14.83,6,115.093,-8.83012,POINT (115.093 -8.830119999999999),6
'5764608310152496153',2.02E+16,-124.2,-17.8,5,115.093,-8.8291,POINT (115.093 -8.8291),6
'5764608310152496166',2.02E+16,-120.11,-14.28,92,115.094,-8.83012,POINT (115.094 -8.830119999999999),6
'5764608310152496168',2.02E+16,-130,-14,3,115.095,-8.8308,POINT (115.095 -8.8308),6
'5764608310152496174',2.02E+16,-120.69,-9.64,119,115.095,-8.83012,POINT (115.095 -8.830119999999999),6
'5764608310152496214',2.02E+16,-120.2,-17.3,5,115.093,-8.82605,POINT (115.093 -8.82605),6
'5764608310152496226',2.02E+16,-120.92,-15.52,95,115.094,-8.82808,POINT (115.094 -8.82808),6
'5764608310152496234',2.02E+16,-120.78,-14.06,9,115.095,-8.82808,POINT (115.095 -8.82808),6
'5764608310152496236',2.02E+16,-121.17,-18.56,3789,115.095,-8.8274,POINT (115.095 -8.827400000000001),6
'5764608310152496242',2.02E+16,-121.07,-13.67,681,115.094,-8.82672,POINT (115.094 -8.82672),6
'5764608310152496263',2.02E+16,-123.81,-17.14,32,115.096,-8.82978,POINT (115.096 -8.82978),6
'5764608310152496269',2.02E+16,-121,-13.42,6,115.096,-8.82978,POINT (115.096 -8.82978),6
'5764608310152496280',2.02E+16,-120.73,-15.91,11,115.096,-8.82944,POINT (115.096 -8.82944),6
'5764608310152496294',2.02E+16,-120.44,-16.12,16,115.097,-8.83012,POINT (115.097 -8.830119999999999),6
'5764608310152496297',2.02E+16,-122.24,-12.3,171,115.098,-8.83046,POINT (115.098 -8.83046),6
'5764608310152496308',2.02E+16,-122.88,-16.94,8,115.097,-8.82876,POINT (115.097 -8.828760000000001),6
'5764608310152496313',2.02E+16,-121.7,-16.98,64,115.098,-8.8291,POINT (115.098 -8.8291),6
'5764608310152496317',2.02E+16,-122.11,-16.06,9,115.098,-8.82842,POINT (115.098 -8.828419999999999),6
'5764608310152496324',2.02E+16,-121.18,-17.81,1124,115.096,-8.8274,POINT (115.096 -8.827400000000001),6
'5764608310152496326',2.02E+16,-120.98,-18.52,1859,115.096,-8.8274,POINT (115.096 -8.827400000000001),6
'5764608310152496327',2.02E+16,-120.5,-18.4,1019,115.096,-8.82706,POINT (115.096 -8.827060000000001),6
'5764608310152496345',2.02E+16,-122.25,-17.28,16,115.096,-8.82638,POINT (115.096 -8.82638),6
'5764608310152496354',2.02E+16,-125.25,-17.75,4,115.097,-8.82808,POINT (115.097 -8.82808),6
'5764608310152496361',2.02E+16,-124.2,-15.1,5,115.098,-8.82774,POINT (115.098 -8.827739999999999),6
'5764608310152496362',2.02E+16,-121.2,-16.24,197,115.098,-8.82808,POINT (115.098 -8.82808),6
'5764608310152496367',2.02E+16,-120.48,-16.41,5045,115.098,-8.82706,POINT (115.098 -8.827060000000001),6
'5764608310152496368',2.02E+16,-120.27,-15.79,157,115.097,-8.82672,POINT (115.097 -8.82672),6
'5764608310152496369',2.02E+16,-120.2,-13.14,54,115.097,-8.82638,POINT (115.097 -8.82638),6
'5764608310152496370',2.02E+16,-121.9,-14.95,48,115.097,-8.82672,POINT (115.097 -8.82672),6
'5764608310152496371',2.02E+16,-122,-13.86,7,115.097,-8.82638,POINT (115.097 -8.82638),6
'5764608310152496372',2.02E+16,-120.31,-14.36,571,115.097,-8.82605,POINT (115.097 -8.82605),6
'5764608310152496392',2.02E+16,-121.4,-15.5,20,115.093,-8.82537,POINT (115.093 -8.825369999999999),6
'5764608310152496405',2.02E+16,-121.24,-17.88,29,115.093,-8.82299,POINT (115.093 -8.822989999999999),10
'5764608310152496523',2.02E+16,-122.13,-14.8,234,115.097,-8.82503,POINT (115.097 -8.82503),6
